Bairro,Tipo,Link,Aluguel Cheio,Aluguel com Bonificação,IPTU,Total / Mês,Dormitórios,Banheiros,Garagens,Condomínio,Suítes
Jardim Paraiso,Casa,https://www.cardinali.com.br/comprar/Sao-Carlos/Casa/Padrao/Jardim-Paraiso/240614,"2.778,75","2.223,00","113,59",2336.59,3.0,1,1,,
Vila Monteiro Gleba I,Casa,https://www.cardinali.com.br/alugar/Sao-Carlos/Casa/Padrao/Vila-Monteiro-Gleba-I/240588,"1.667,50","1.334,00","50,00",1384.0,1.0,1,,,
Parque Santa Monica,Apartamento,https://www.cardinali.com.br/comprar/Sao-Carlos/Apartamento/Padrao/Parque-Santa-Monica/240579,"2.500,00","2.000,00","80,00",2543.9,2.0,1,1,"463,90",
Centro,Apartamento,https://www.cardinali.com.br/alugar/Sao-Carlos/Apartamento/Padrao/Centro/240550,"3.472,50","2.778,00","305,00",4453.0,3.0,1,1,"1.370,00",
Parque Santa Monica,Apartamento,https://www.cardinali.com.br/alugar/Sao-Carlos/Apartamento/Padrao/Parque-Santa-Monica/240531,"2.361,25","1.889,00","85,83",2455.69,3.0,1,1,"480,86",
Parque Santa Monica,Apartamento,https://www.cardinali.com.br/alugar/Sao-Carlos/Apartamento/Padrao/Parque-Santa-Monica/240530,"2.361,25","1.889,00","85,83",2455.69,3.0,1,1,"480,86",
Parque Santa Monica,Apartamento,https://www.cardinali.com.br/alugar/Sao-Carlos/Apartamento/Padrao/Parque-Santa-Monica/240529,"2.361,25","1.889,00","85,83",2455.69,3.0,1,1,"480,86",
Centro,Apartamento,https://www.cardinali.com.br/alugar/Sao-Carlos/Apartamento/Padrao/Centro/240374,"4.167,50","3.334,00","174,00",4108.0,3.0,1,3,"600,00",
Centro,Casa,https://www.cardinali.com.br/alugar/Sao-Carlos/Casa/Padrao/Centro/240369,"6.250,00","5.000,00","210,00",5210.0,3.0,2,3,,
Jardim Lutfalla,Apartamento,https://www.cardinali.com.br/alugar/Sao-Carlos/Apartamento/Padrao/Jardim-Lutfalla/240345,"3.333,75","2.667,00","76,16",3083.16,2.0,1,1,"340,00",
Cidade Jardim,Apartamento,https://www.cardinali.com.br/alugar/Sao-Carlos/Apartamento/Padrao/Cidade-Jardim/240343,"1.667,50","1.334,00","40,00",1594.0,2.0,1,1,"220,00",
Cidade Jardim,Apartamento,https://www.cardinali.com.br/alugar/Sao-Carlos/Apartamento/Padrao/Cidade-Jardim/240319,"2.500,00","2.000,00","101,37",2428.52,2.0,1,1,"327,15",
Centro,Apartamento,https://www.cardinali.com.br/alugar/Sao-Carlos/Apartamento/Padrao/Centro/240285,"3.195,00","2.556,00","60,00",2896.0,1.0,1,1,"280,00",
Centro,Apartamento,https://www.cardinali.com.br/alugar/Sao-Carlos/Apartamento/Padrao/Centro/240284,"3.195,00","2.556,00","60,00",2896.0,1.0,1,1,"280,00",
Jardim Hikare,Apartamento,https://www.cardinali.com.br/alugar/Sao-Carlos/Apartamento/Padrao/Jardim-Hikare/240280,"1.597,50","1.278,00","63,00",1693.35,2.0,1,1,"352,35",
Parque Santa Monica,Apartamento,https://www.cardinali.com.br/alugar/Sao-Carlos/Apartamento/Padrao/Parque-Santa-Monica/240278,"1.868,75","1.495,00","80,00",2035.0,2.0,1,1,"460,00",
Centro,Casa,https://www.cardinali.com.br/alugar/Sao-Carlos/Casa/Padrao/Centro/240217,"6.945,00","5.556,00",,5556.0,8.0,3,3,,
